tissue	sample	frag_path	workdir
heart_kanemaru_2023_healthy samp34   fragments_standardized/bgz/Kanemaru2023-cardiac_tissue-HCAHeartST13146203_HCAHeartST13129136.fragments.tsv.gz    /working/joint_projects/bc_risk_locus_multiomics/published_scATAC/downloaded/scATAC_corpus/Kanemaru2023/Kanemaru2023-cardiac_tissue/frags/Kanemaru2023/Kanemaru2023-cardiac_tissue
heart_kanemaru_2023_healthy samp35   fragments_standardized/bgz/Kanemaru2023-cardiac_tissue-HCAHeartST13146204_HCAHeartST13129137.fragments.tsv.gz    /working/joint_projects/bc_risk_locus_multiomics/published_scATAC/downloaded/scATAC_corpus/Kanemaru2023/Kanemaru2023-cardiac_tissue/frags/Kanemaru2023/Kanemaru2023-cardiac_tissue
heart_kanemaru_2023_healthy samp36   fragments_standardized/bgz/Kanemaru2023-cardiac_tissue-HCAHeartST13146205_HCAHeartST13129138.fragments.tsv.gz    /working/joint_projects/bc_risk_locus_multiomics/published_scATAC/downloaded/scATAC_corpus/Kanemaru2023/Kanemaru2023-cardiac_tissue/frags/Kanemaru2023/Kanemaru2023-cardiac_tissue
heart_kanemaru_2023_healthy samp37   fragments_standardized/bgz/Kanemaru2023-cardiac_tissue-HCAHeartST13146206_HCAHeartST13129139.fragments.tsv.gz    /working/joint_projects/bc_risk_locus_multiomics/published_scATAC/downloaded/scATAC_corpus/Kanemaru2023/Kanemaru2023-cardiac_tissue/frags/Kanemaru2023/Kanemaru2023-cardiac_tissue
heart_kanemaru_2023_healthy samp38   fragments_standardized/bgz/Kanemaru2023-cardiac_tissue-HCAHeartST13146207_HCAHeartST13129140.fragments.tsv.gz    /working/joint_projects/bc_risk_locus_multiomics/published_scATAC/downloaded/scATAC_corpus/Kanemaru2023/Kanemaru2023-cardiac_tissue/frags/Kanemaru2023/Kanemaru2023-cardiac_tissue
heart_kanemaru_2023_healthy samp39   fragments_standardized/bgz/Kanemaru2023-cardiac_tissue-HCAHeartST13146208_HCAHeartST13129141.fragments.tsv.gz    /working/joint_projects/bc_risk_locus_multiomics/published_scATAC/downloaded/scATAC_corpus/Kanemaru2023/Kanemaru2023-cardiac_tissue/frags/Kanemaru2023/Kanemaru2023-cardiac_tissue
heart_kanemaru_2023_healthy samp40   fragments_standardized/bgz/Kanemaru2023-cardiac_tissue-HCAHeartST13168796_HCAHeartST13167740.fragments.tsv.gz    /working/joint_projects/bc_risk_locus_multiomics/published_scATAC/downloaded/scATAC_corpus/Kanemaru2023/Kanemaru2023-cardiac_tissue/frags/Kanemaru2023/Kanemaru2023-cardiac_tissue
heart_kanemaru_2023_healthy samp41   fragments_standardized/bgz/Kanemaru2023-cardiac_tissue-HCAHeartST13180615_HCAHeartST13177112.fragments.tsv.gz    /working/joint_projects/bc_risk_locus_multiomics/published_scATAC/downloaded/scATAC_corpus/Kanemaru2023/Kanemaru2023-cardiac_tissue/frags/Kanemaru2023/Kanemaru2023-cardiac_tissue
heart_kanemaru_2023_healthy samp42   fragments_standardized/bgz/Kanemaru2023-cardiac_tissue-HCAHeartST13180616_HCAHeartST13177113.fragments.tsv.gz    /working/joint_projects/bc_risk_locus_multiomics/published_scATAC/downloaded/scATAC_corpus/Kanemaru2023/Kanemaru2023-cardiac_tissue/frags/Kanemaru2023/Kanemaru2023-cardiac_tissue
heart_kanemaru_2023_healthy samp43   fragments_standardized/bgz/Kanemaru2023-cardiac_tissue-HCAHeartST13180617_HCAHeartST13177114.fragments.tsv.gz    /working/joint_projects/bc_risk_locus_multiomics/published_scATAC/downloaded/scATAC_corpus/Kanemaru2023/Kanemaru2023-cardiac_tissue/frags/Kanemaru2023/Kanemaru2023-cardiac_tissue
